epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7402,1.21677,2.37905,1.21193,0.00279,0.6453,0.09833,0.02209,1.85997,3.80624,1.90909,0.08614,0.00014,0.00014
2,68.0855,1.07783,1.50302,1.1675,0.01339,0.83974,0.51569,0.19,2.08553,3.31223,1.8295,0.0712871,0.000287129,0.000287129
3,104.428,1.01978,1.13835,1.16618,0.01827,0.86752,0.69194,0.4107,1.47688,2.87969,1.37302,0.0564313,0.000431288,0.000431288
4,136.713,1.04909,0.99814,1.14346,1,0.22934,0.84139,0.58545,1.10265,2.28722,1.15564,0.0415725,0.000572477,0.000572477
5,169.907,0.99886,0.88191,1.1192,0.91887,0.46662,0.86588,0.68001,0.88485,1.85766,0.99514,0.0267107,0.000710696,0.000710696
6,203.673,0.96831,0.85025,1.12226,0.94932,0.77112,0.86584,0.61351,1.09992,1.37508,1.09542,0.0118459,0.000845945,0.000845945
7,237.603,0.90774,0.81424,1.07589,0.89318,0.86249,0.86561,0.6692,0.85637,1.0494,1.01275,0.0009406,0.0009406,0.0009406
8,270.294,0.88867,0.77529,1.05886,0.83582,0.86752,0.86352,0.65662,0.91691,1.12657,1.01472,0.0009307,0.0009307,0.0009307
9,302.001,0.9333,0.7554,1.0405,0.95283,0.86752,0.86564,0.72768,0.68584,0.8724,0.94354,0.0009208,0.0009208,0.0009208
10,333.135,0.93519,0.76264,1.07565,0.98891,0.86752,0.86556,0.72228,0.71102,0.64393,0.94294,0.0009109,0.0009109,0.0009109
11,364.622,0.84794,0.72267,1.03811,0.7889,0.80556,0.76623,0.45292,1.49503,1.34947,1.33441,0.000901,0.000901,0.000901
12,398.902,0.87707,0.77103,1.07394,0.96647,0.86457,0.86559,0.6797,0.90847,0.77873,1.10411,0.0008911,0.0008911,0.0008911
13,432.26,0.83982,0.71742,1.04445,0.98206,0.86752,0.86579,0.73507,0.65467,0.65518,0.94122,0.0008812,0.0008812,0.0008812
14,466.374,0.84948,0.69998,1.05192,0.99004,0.86752,0.86584,0.71536,0.6855,0.70281,0.94231,0.0008713,0.0008713,0.0008713
15,500.488,0.89214,0.71268,1.06798,0.98794,0.86752,0.86559,0.76518,0.55363,0.65763,0.88779,0.0008614,0.0008614,0.0008614
16,534.005,0.85745,0.70375,1.05294,0.85388,0.8581,0.86585,0.74071,0.68107,0.75591,0.95202,0.0008515,0.0008515,0.0008515
17,567.58,0.7905,0.68953,1.0378,0.90537,0.86446,0.86616,0.74306,0.69298,0.68249,0.95112,0.0008416,0.0008416,0.0008416
18,600.757,0.78188,0.64862,1.02099,0.99285,0.86752,0.86623,0.75163,0.52247,0.49775,0.87834,0.0008317,0.0008317,0.0008317
19,634.62,0.79399,0.65604,1.03066,0.99118,0.86752,0.86641,0.59301,1.21286,0.62,1.21818,0.0008218,0.0008218,0.0008218
20,667.826,0.78633,0.61805,1.0071,0.99326,0.86752,0.86616,0.75941,0.59664,0.49326,0.89962,0.0008119,0.0008119,0.0008119
21,701.606,0.78252,0.61479,1.00024,0.99034,0.86752,0.86655,0.73332,0.63719,0.51471,0.90369,0.000802,0.000802,0.000802
22,735.897,0.74472,0.59919,1.00692,0.98208,0.86752,0.86623,0.77076,0.45218,0.51657,0.85691,0.0007921,0.0007921,0.0007921
23,769.756,0.78559,0.62691,1.01469,0.97432,0.86538,0.86558,0.77898,0.47372,0.60527,0.86622,0.0007822,0.0007822,0.0007822
24,802.573,0.7736,0.60958,1.01622,0.98677,0.86752,0.86571,0.77203,0.51242,0.59072,0.87455,0.0007723,0.0007723,0.0007723
25,835.249,0.71536,0.57699,0.97956,0.98878,0.86752,0.86617,0.77,0.59704,0.52044,0.89794,0.0007624,0.0007624,0.0007624
26,868.027,0.7283,0.56918,0.99729,0.98589,0.86752,0.86703,0.78413,0.51919,0.49427,0.87179,0.0007525,0.0007525,0.0007525
27,900.762,0.74984,0.59651,1.01535,0.97776,0.86752,0.86654,0.76054,0.55601,0.48494,0.87654,0.0007426,0.0007426,0.0007426
28,933.301,0.69462,0.54471,0.97894,0.9902,0.86752,0.86626,0.76408,0.50307,0.46032,0.86375,0.0007327,0.0007327,0.0007327
29,966.136,0.73248,0.5811,0.98523,0.99204,0.86752,0.86601,0.65778,0.93053,0.50248,1.00335,0.0007228,0.0007228,0.0007228
30,999.046,0.70786,0.55687,0.97276,0.98939,0.86752,0.866,0.70099,0.74099,0.45719,0.92747,0.0007129,0.0007129,0.0007129
31,1032.14,0.70339,0.53778,0.96928,0.99013,0.86752,0.86598,0.7231,0.71852,0.46517,0.92368,0.000703,0.000703,0.000703
32,1065.43,0.70186,0.54497,0.97132,0.97742,0.86752,0.86659,0.78831,0.50402,0.49244,0.87092,0.0006931,0.0006931,0.0006931
33,1098.47,0.68229,0.56013,0.97296,0.96899,0.86752,0.86682,0.79781,0.43997,0.479,0.85351,0.0006832,0.0006832,0.0006832
34,1131.62,0.69747,0.53262,0.98039,0.99214,0.86752,0.86596,0.78152,0.45236,0.43063,0.85959,0.0006733,0.0006733,0.0006733
35,1164.72,0.68491,0.52768,0.97026,0.99255,0.86752,0.86602,0.76818,0.49811,0.40808,0.87107,0.0006634,0.0006634,0.0006634
36,1198.21,0.71635,0.54019,0.99198,0.99317,0.86752,0.86636,0.58871,1.20817,0.52052,1.14278,0.0006535,0.0006535,0.0006535
37,1231.44,0.73186,0.54923,0.99052,0.9936,0.86752,0.8663,0.71456,0.74802,0.43682,0.94959,0.0006436,0.0006436,0.0006436
38,1264.38,0.73436,0.54532,0.98793,0.99065,0.86752,0.8662,0.76939,0.61035,0.44069,0.90911,0.0006337,0.0006337,0.0006337
39,1297.16,0.73099,0.53826,0.98224,0.98826,0.86752,0.86663,0.79332,0.47319,0.42303,0.87507,0.0006238,0.0006238,0.0006238
40,1330.16,0.68904,0.55174,0.99168,0.99039,0.86752,0.86775,0.78204,0.46318,0.38881,0.85934,0.0006139,0.0006139,0.0006139
41,1363.34,0.72557,0.53456,0.98684,0.99173,0.86752,0.86886,0.78627,0.46191,0.37276,0.86574,0.000604,0.000604,0.000604
42,1396.23,0.65032,0.49506,0.96643,0.99263,0.86752,0.86932,0.76539,0.56053,0.38607,0.88772,0.0005941,0.0005941,0.0005941
43,1429.46,0.64046,0.47984,0.96041,0.99324,0.86752,0.86809,0.72451,0.71897,0.43628,0.92656,0.0005842,0.0005842,0.0005842
44,1462.61,0.66211,0.51798,0.97506,0.9928,0.86752,0.86767,0.76249,0.60689,0.40581,0.89457,0.0005743,0.0005743,0.0005743
45,1495.49,0.65158,0.48826,0.95733,0.98863,0.86752,0.86758,0.78065,0.49913,0.37969,0.85965,0.0005644,0.0005644,0.0005644
46,1528.64,0.63939,0.49328,0.96582,0.99156,0.86752,0.86728,0.78265,0.45852,0.40822,0.85466,0.0005545,0.0005545,0.0005545
47,1561.67,0.61573,0.47366,0.96213,0.98415,0.86752,0.86706,0.79449,0.4332,0.43301,0.85259,0.0005446,0.0005446,0.0005446
48,1594.72,0.59515,0.46476,0.93499,0.9845,0.86752,0.86674,0.7835,0.43021,0.38795,0.87262,0.0005347,0.0005347,0.0005347
49,1627.74,0.64307,0.4793,0.97015,0.98641,0.86752,0.86746,0.77367,0.46609,0.39184,0.88172,0.0005248,0.0005248,0.0005248
50,1661.83,0.59798,0.45072,0.93362,0.99,0.86752,0.86762,0.81222,0.39305,0.34477,0.85428,0.0005149,0.0005149,0.0005149
51,1695.12,0.61477,0.46984,0.96301,0.99186,0.86752,0.86701,0.76589,0.55994,0.37432,0.87409,0.000505,0.000505,0.000505
52,1727.32,0.62513,0.47668,0.96621,0.99221,0.86752,0.8671,0.78312,0.50547,0.35056,0.86468,0.0004951,0.0004951,0.0004951
53,1760.18,0.61259,0.44236,0.94204,0.99279,0.86752,0.86749,0.77949,0.50733,0.34523,0.86315,0.0004852,0.0004852,0.0004852
54,1791.8,0.61176,0.46272,0.9563,0.99291,0.86752,0.86864,0.81855,0.3789,0.33022,0.83962,0.0004753,0.0004753,0.0004753
55,1822.37,0.63127,0.45032,0.9595,0.99085,0.86752,0.86808,0.82607,0.40546,0.35184,0.84548,0.0004654,0.0004654,0.0004654
56,1853.28,0.66055,0.48229,0.97455,0.99141,0.86752,0.86859,0.77761,0.50296,0.35064,0.85356,0.0004555,0.0004555,0.0004555
57,1889.14,0.64988,0.48465,0.95959,0.99201,0.86752,0.86988,0.80028,0.5181,0.37875,0.85622,0.0004456,0.0004456,0.0004456
58,1923.38,0.64126,0.4502,0.96298,0.99271,0.86752,0.86957,0.76864,0.5616,0.3629,0.87615,0.0004357,0.0004357,0.0004357
59,1954.72,0.6557,0.47235,0.96341,0.99028,0.86752,0.86948,0.78203,0.46788,0.35546,0.84635,0.0004258,0.0004258,0.0004258
60,1986.24,0.58727,0.43588,0.9397,0.98784,0.86752,0.86906,0.77917,0.45957,0.36163,0.84736,0.0004159,0.0004159,0.0004159
61,2018.45,0.62162,0.4471,0.95331,0.99239,0.86752,0.86813,0.7923,0.45302,0.33618,0.84433,0.000406,0.000406,0.000406
62,2052.69,0.62488,0.44432,0.95468,0.99268,0.86752,0.8669,0.71821,0.75429,0.39019,0.93609,0.0003961,0.0003961,0.0003961
63,2087.78,0.59988,0.45025,0.94358,0.99321,0.86752,0.867,0.78278,0.51527,0.3251,0.85962,0.0003862,0.0003862,0.0003862
64,2121.5,0.62345,0.44377,0.95863,0.9935,0.86752,0.86682,0.68658,0.87708,0.42214,0.97405,0.0003763,0.0003763,0.0003763
65,2155.36,0.62002,0.4409,0.95965,0.99305,0.86752,0.86707,0.70803,0.75691,0.39386,0.9256,0.0003664,0.0003664,0.0003664
66,2187.17,0.60062,0.41176,0.94538,0.99417,0.86752,0.8677,0.74375,0.66823,0.36006,0.89862,0.0003565,0.0003565,0.0003565
