epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2458,1.58537,3.29367,1.92335,0.98634,0.23077,0.25415,0.1381,1.66793,3.34475,1.70256,0.08614,0.00014,0.00014
2,28.2048,1.20386,0.94891,1.34369,0.88405,0.5213,0.50871,0.27299,1.60476,2.04054,1.51936,0.0712881,0.000288086,0.000288086
3,35.6422,1.12182,0.81776,1.23712,0.75873,0.50641,0.44171,0.33204,0.97831,2.07011,1.13166,0.0564342,0.000434192,0.000434192
4,42.094,1.06117,0.77022,1.23332,0.51648,0.57479,0.52647,0.23789,1.90462,1.50565,2.03486,0.0415783,0.000578318,0.000578318
5,49.3535,1.00819,0.77626,1.19917,0.93455,0.7906,0.84814,0.67661,0.77868,0.68843,1.03491,0.0267205,0.000720464,0.000720464
6,55.7395,1.0233,0.67847,1.2042,0.77126,0.7906,0.80788,0.57002,1.17564,1.00541,1.37383,0.0118606,0.00086063,0.00086063
7,63.2335,1.06731,0.69336,1.21743,0.38446,0.11667,0.0597,0.00923,3.79641,5.05733,9.21457,0.0009604,0.0009604,0.0009604
8,69.5545,1.08597,0.70571,1.22134,0.33372,0.13889,0.00031,4e-05,3.84418,6.66319,6.41019,0.0009538,0.0009538,0.0009538
9,76.8324,0.93314,0.62781,1.13855,0.00072,0.27564,0.0009,0.00016,3.47226,5.66197,4.30164,0.0009472,0.0009472,0.0009472
10,83.4393,0.96175,0.63584,1.18444,0.75559,0.57265,0.60726,0.23592,1.96847,3.20612,1.79308,0.0009406,0.0009406,0.0009406
11,90.3948,0.90876,0.61606,1.13009,0.65128,0.83419,0.79537,0.63654,0.85067,1.62183,1.05253,0.000934,0.000934,0.000934
12,97.876,0.94714,0.60767,1.13167,0.72898,0.86752,0.86621,0.43203,2.0628,1.95291,2.23138,0.0009274,0.0009274,0.0009274
13,104.265,0.90508,0.59077,1.09688,0.86466,0.84581,0.86778,0.49671,1.65517,1.42215,1.78871,0.0009208,0.0009208,0.0009208
14,111.449,0.87691,0.58879,1.10818,0.91715,0.85577,0.86946,0.71305,0.7307,0.56168,0.92702,0.0009142,0.0009142,0.0009142
15,118.104,0.90927,0.58039,1.11731,0.9663,0.64365,0.67852,0.58366,0.85572,0.97588,0.97472,0.0009076,0.0009076,0.0009076
16,125.084,0.87416,0.56807,1.11007,0.9662,0.54444,0.62646,0.55807,0.80536,0.9839,0.95824,0.000901,0.000901,0.000901
17,131.067,0.83071,0.54789,1.06386,0.93189,0.86752,0.86828,0.7704,0.59274,0.68765,0.86422,0.0008944,0.0008944,0.0008944
18,138.522,0.81424,0.54385,1.06822,0.98215,0.86752,0.86815,0.75825,0.6183,0.44271,0.87197,0.0008878,0.0008878,0.0008878
19,144.838,0.85639,0.56283,1.08966,0.98254,0.86752,0.87037,0.72128,0.77576,0.42776,0.94325,0.0008812,0.0008812,0.0008812
20,152.352,0.78542,0.50229,1.06308,0.99132,0.86752,0.87668,0.75342,0.65525,0.39548,0.87296,0.0008746,0.0008746,0.0008746
21,158.598,0.7895,0.52104,1.05266,0.98738,0.86752,0.88181,0.7131,0.81153,0.40871,0.95533,0.000868,0.000868,0.000868
22,166.122,0.82337,0.52755,1.09113,0.99247,0.86752,0.88016,0.71276,0.83847,0.37365,0.98857,0.0008614,0.0008614,0.0008614
23,172.625,0.84907,0.53112,1.11877,0.9908,0.86752,0.87523,0.79754,0.57326,0.38182,0.85257,0.0008548,0.0008548,0.0008548
24,179.989,0.87426,0.5714,1.12052,0.98648,0.81197,0.86229,0.77177,0.59223,0.48901,0.8845,0.0008482,0.0008482,0.0008482
25,186.627,0.79472,0.50414,1.06589,0.98077,0.86752,0.87959,0.75988,0.59905,0.48605,0.85795,0.0008416,0.0008416,0.0008416
26,193.264,0.81328,0.49064,1.07763,0.9786,0.86752,0.88075,0.7629,0.61542,0.48189,0.84551,0.000835,0.000835,0.000835
27,200.513,0.81589,0.52058,1.07629,0.97998,0.86752,0.87836,0.79421,0.50796,0.36658,0.82608,0.0008284,0.0008284,0.0008284
28,207.203,0.7837,0.51065,1.0816,0.98327,0.86752,0.87848,0.76373,0.55231,0.34883,0.8351,0.0008218,0.0008218,0.0008218
29,213.988,0.80036,0.4861,1.07543,0.97466,0.86752,0.87362,0.76013,0.6399,0.33697,0.87064,0.0008152,0.0008152,0.0008152
30,220.309,0.78686,0.46782,1.03777,0.98415,0.86752,0.88308,0.67821,0.98232,0.41877,1.02012,0.0008086,0.0008086,0.0008086
31,228.003,0.81713,0.48599,1.08329,0.98305,0.86752,0.87323,0.73644,0.72645,0.53497,0.90737,0.000802,0.000802,0.000802
32,234.2,0.77543,0.49775,1.0562,0.97997,0.86752,0.87386,0.76476,0.67673,0.39404,0.87462,0.0007954,0.0007954,0.0007954
